# Temporary known-debt ratchets for check-architecture-contract.sh.
#
# Format: class<TAB>key<TAB>current maximum
# Values match the checkout. When debt decreases, lower this baseline. It is not
# a universal size limit and cannot justify new debt. Never raise it.
# Legacy daemon coordinator: delegate more responsibilities before it grows.
lines	celestina-rs/crates/magnetitad/src/main.rs	927
# QML coordinator with mixed responsibilities: its next change must extract.
lines	siderita/qml/views/FolderView.qml	831
# CXX-Qt contract concentrated by the macro; logic remains in submodules.
lines	siderita/src/controller.rs	1106
# Legacy local Qt controls may migrate to shared style but never grow.
control	siderita/qml/components/SizeRow.qml:Slider	1
control	siderita/qml/components/chrome/BottomControls.qml:BusyIndicator	1
control	siderita/qml/components/chrome/FloatingButton.qml:Button	1
control	siderita/qml/dialogs/ConflictDialog.qml:CheckBox	1
control	siderita/qml/menus/EntryContextMenu.qml:MenuSeparator	1
control	siderita/qml/menus/FolderMenu.qml:MenuSeparator	1
control	siderita/qml/menus/SizePopup.qml:Popup	1
